id,name,experience,average_case_completion_days,BarLicenseNumber,rating,province
1,Anay Ahluwalia,20,117,6776,4,Koshi
2,Arnav Dubey,29,119,9563,5,Gandaki
3,Lavanya Lalla,15,93,7429,3,Gandaki
4,Armaan Khosla,11,89,3637,3,Madhesh
5,Advik Chaudry,8,105,2567,2,Sudurpaschim
6,Urvi Bedi,29,106,8550,5,Sudurpaschim
7,Rania Bansal,21,77,4370,4,Koshi
8,Urvi Gera,7,82,7656,2,Madhesh
9,Shamik Kamdar,26,70,6479,4,Koshi
10,Ayesha Bala,19,0,9881,3,Bagmati
11,Jayesh Kapur,23,99,1101,4,Sudurpaschim
12,Rohan Basu,11,69,9243,3,Madhesh
13,Divit Kapoor,11,83,3733,3,Madhesh
14,Vardaniya Mallick,24,69,7026,4,Koshi
15,Ivan Koshy,21,76,9825,4,Gandaki
16,Reyansh Sibal,4,98,4599,1,Madhesh
17,Vedika Vala,8,78,5150,2,Koshi
18,Aaryahi Sood,24,85,8863,4,Lumbini
19,Suhana Bawa,3,65,9947,1,Gandaki
20,Anahi Gala,22,0,2967,4,Gandaki
21,Gatik Suresh,21,89,3374,4,Sudurpaschim
22,Saanvi Thakur,2,79,1289,1,Bagmati
23,Bhavin Kata,24,87,2850,4,Sudurpaschim
24,Shayak Wable,12,92,9952,3,Lumbini
25,Nakul Varughese,6,77,8056,2,Koshi
26,Aarush Rajagopalan,2,67,2264,1,Gandaki
27,Krish Ramachandran,28,117,8613,5,Gandaki
28,Rhea De,21,80,6751,4,Madhesh
29,Sahil Dâ€™Alia,1,88,8965,1,Bagmati
30,Eshani Hayre,12,0,6059,3,Bagmati
31,Advika Walla,26,142,7097,4,Madhesh
32,Aaryahi Banik,22,71,7941,4,Lumbini
33,Yasmin Kalla,29,96,7224,5,Bagmati
34,Mahika Varma,12,79,6525,3,Gandaki
35,Ira Mall,25,81,1086,4,Lumbini
36,Madhav Agarwal,17,79,7673,3,Sudurpaschim
37,Kanav Sahni,27,73,3222,4,Sudurpaschim
38,Anaya Choudhary,27,89,2171,4,Lumbini
39,Drishya Rattan,10,67,3120,3,Gandaki
40,Nitya Talwar,28,0,4010,5,Sudurpaschim
41,Ivana Madan,28,90,6742,5,Koshi
42,Purab Contractor,16,96,5850,3,Gandaki
43,Riya Kannan,15,83,5643,3,Madhesh
44,Zoya Verma,15,84,2590,3,Bagmati
45,Jhanvi Gaba,19,94,9758,3,Lumbini
46,Shaan Soni,12,72,2766,3,Bagmati
47,Stuvan Krish,23,84,2595,4,Madhesh
48,Manikya Gour,20,77,9105,4,Sudurpaschim
49,Kavya Rattan,25,76,4216,4,Koshi
50,Diya Bassi,3,0,8341,1,Gandaki
51,Pari Garde,5,110,5111,2,Gandaki
52,Saksham Amble,19,79,6148,3,Madhesh
53,Jivin Kalla,7,107,8496,2,Lumbini
54,Aaina Ganesan,21,106,1699,4,Bagmati
55,Jayan Kaur,9,70,1041,2,Koshi
56,Dhruv Yohannan,7,73,3820,2,Sudurpaschim
57,Hiran Dave,18,128,3586,3,Lumbini
58,Madhav Malhotra,4,116,7596,1,Koshi
59,Ivan Chaudhuri,25,89,1230,4,Koshi
60,Azad Suri,28,0,2273,5,Madhesh
61,Priyansh Choudhry,14,80,9726,3,Madhesh
62,Tara Bains,18,96,7836,3,Gandaki
63,Gokul Sangha,26,79,6796,4,Sudurpaschim
64,Jivin Srivastava,9,59,1787,2,Lumbini
65,Ranbir Sharaf,26,70,8443,4,Gandaki
66,Damini Virk,21,90,2946,4,Sudurpaschim
67,Ivan Dhaliwal,2,73,9354,1,Bagmati
68,Akarsh Karnik,20,88,5229,4,Bagmati
69,Urvi Setty,28,73,2011,5,Gandaki
70,Anahi Date,15,0,2798,3,Lumbini
71,Tara Sood,28,102,5904,5,Sudurpaschim
72,Kiara Doctor,7,93,4432,2,Bagmati
73,Ishita Choudhry,12,89,7022,3,Bagmati
74,Yashvi Bakshi,29,103,3359,5,Lumbini
75,Stuvan Cherian,8,97,1595,2,Gandaki
76,Advik Dora,15,111,5386,3,Madhesh
77,Zara Sant,3,83,3574,1,Koshi
78,Saksham Jani,14,83,3101,3,Sudurpaschim
79,Aniruddh Yohannan,17,70,4834,3,Bagmati
80,Aniruddh Baria,4,0,7400,1,Koshi
81,Kartik Viswanathan,18,104,2920,3,Koshi
82,Lakshit Mani,8,109,8347,2,Madhesh
83,Devansh Mangal,4,104,2288,1,Koshi
84,Nakul Chakraborty,2,63,1086,1,Lumbini
85,Hridaan Bhattacharyya,6,106,7036,2,Gandaki
86,Faiyaz Shroff,22,62,5978,4,Sudurpaschim
87,Nitara Saha,10,103,5405,3,Lumbini
88,Riya Sane,4,84,2827,1,Gandaki
89,Mohanlal Krishnan,22,100,2081,4,Lumbini
90,Yashvi Krish,29,0,7606,5,Bagmati
91,Rasha Deol,18,107,2021,3,Bagmati
92,Nirvaan Ramaswamy,26,68,3421,4,Madhesh
93,Indrans Khalsa,12,79,8768,3,Lumbini
94,Adira Borah,2,75,2816,1,Koshi
95,Armaan Bhargava,10,63,6331,3,Bagmati
96,Nirvi Kalla,4,91,5776,1,Gandaki
97,Hrishita Raval,14,117,9965,3,Madhesh
98,Manjari Dâ€™Alia,16,130,7168,3,Koshi
99,Reyansh Kota,15,91,6066,3,Sudurpaschim
100,Rohan Sehgal,8,0,6249,2,Lumbini
101,Miraan Garg,14,93,9401,3,Bagmati
102,Dhruv Guha,23,97,5877,4,Koshi
103,Ishita Varkey,28,84,1167,5,Gandaki
104,Eshani Wali,25,92,9523,4,Lumbini
105,Hiran Bhatt,8,98,1006,2,Gandaki
106,Eshani Shukla,21,81,2649,4,Madhesh
107,Advika Raja,16,88,8478,3,Bagmati
108,Ela Sandal,13,89,8962,3,Bagmati
109,Rania Deshpande,18,102,3108,3,Madhesh
110,Farhan Solanki,15,0,8719,3,Gandaki
111,Shlok Baria,21,89,9562,4,Lumbini
112,Vanya Dani,24,118,8660,4,Gandaki
113,Rohan Anand,26,107,1137,4,Lumbini
114,Vihaan Bhatnagar,25,110,4707,4,Koshi
115,Darshit Karan,28,90,3021,5,Madhesh
116,Ayesha Kar,28,94,8393,5,Sudurpaschim
117,Navya Hayre,28,105,9866,5,Lumbini
118,Khushi Taneja,13,113,3906,3,Bagmati
119,Aayush Saran,9,60,6189,2,Koshi
120,Saanvi Barad,29,0,9065,5,Bagmati
121,Bhavin Wali,15,109,8189,3,Koshi
122,Trisha Sundaram,13,85,3103,3,Bagmati
123,Indranil Subramaniam,1,79,7827,1,Gandaki
124,Zoya Khalsa,25,71,2320,4,Gandaki
125,Hazel Basu,7,81,8967,2,Gandaki
126,Kartik Goel,9,68,6594,2,Koshi
127,Ojas Jain,24,121,8976,4,Koshi
128,Tanya Sood,1,89,9089,1,Bagmati
129,Shlok Mangal,12,89,1718,3,Lumbini
130,Tushar Dugar,8,0,6794,2,Koshi
131,Advik Mangal,24,104,6156,4,Bagmati
132,Armaan Wagle,11,104,3572,3,Lumbini
133,Madhav Bora,19,106,2566,3,Gandaki
134,Pihu Gour,17,80,8266,3,Koshi
135,Aradhya Ravel,8,85,7943,2,Sudurpaschim
136,Nayantara Sunder,3,101,1615,1,Gandaki
137,Alisha Bedi,3,82,4470,1,Madhesh
138,Zeeshan Seshadri,1,89,2012,1,Lumbini
139,Saira Ratti,27,95,3469,4,Sudurpaschim
140,Samiha Bhakta,5,0,2501,2,Gandaki
141,Vritika Sachdev,10,63,2266,3,Koshi
142,Kimaya Kulkarni,7,100,8219,2,Sudurpaschim
143,Abram Borde,26,86,1077,4,Bagmati
144,Ishaan Mann,9,100,8512,2,Lumbini
145,Stuvan Keer,28,101,6696,5,Madhesh
146,Mamooty Yadav,7,114,4512,2,Bagmati
147,Emir Khurana,9,110,8028,2,Sudurpaschim
148,Manjari Jain,8,110,3497,2,Gandaki
149,Navya Dar,12,111,7008,3,Lumbini
150,Nayantara Goyal,2,0,1907,1,Koshi
151,Raunak Kaur,1,90,9400,1,Madhesh
152,Biju Joshi,16,103,3861,3,Gandaki
153,Trisha Barad,23,100,3883,4,Madhesh
154,Gatik Maharaj,23,85,7541,4,Koshi
